sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
47,"Benzene","71-43-2","200-753-7","(EC) No 1223/2009","76/768/EEC","552/2009 - as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight ","","","(*)Anthracene oil, anthracene paste, anthracene fraction, if it contains > 0.1% w/w benzene;(*)Anthracene oil, anthracene paste, carbazole fraction, if it contains > 0.1% w/w benzene;(*)Anthracene oil, anthracene paste, distn. lights, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C6-10, acid-treated, neutralized, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C6-10, C8-rich, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C6-8, naphtha-raffinate pyrolyzate-derived, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C7-12, C8-rich, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C7-8, dealkylation products, distn. residues, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C8, catalytic reforming-derived, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C8-10, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C8-9, hydrocarbon resin polymn. by-product, if it contains > 0.1% w/w benzene;(*)Aromatic hydrocarbons, C9-12, benzene distn., if it contains > 0.1% w/w benzene;(*)Benzol forerunnings (coal), if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), benzole fraction, BTX-rich, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), benzole fraction, distn. residues, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), light oils, acid exts., if it contains > 0.1% w/w benzene ;(*)Distillates (coal tar), light oils, alk. exts., if it contains > 0.1% w/w benzene ;(*)Distillates (coal tar), light oils, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), light oils, neutral fraction, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oil crystn. mother liquor, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oils, acid exts., if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oils, alk. exts., if it contains > 0.1% w/w benzene ;(*)Distillates (coal tar), naphthalene oils, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oils, indole-methylnaphthalene fraction, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oils, methylnaphthalene fraction, if it contains > 0.1% w/w benzene;(*)Distillates (coal tar), naphthalene oils, naphthalene-free, alk. exts., if it contains > 0.1% w/w benzene ;(*)Distillates (coal tar), naphthalene oils, naphthalene-low, if it contains > 0.1% w/w benzene;(*)Distillates (coal), coal tar-residual pyrolysis oils, naphthalene oils, if it contains > 0.1% w/w benzene;(*)Distillates (coal), coke-oven light oil, naphthalene cut, if it contains > 0.1% w/ww benzene;(*)Distillates (coal), liq. solvent extn. primary, if it contains > 0.1% w/w benzene;(*)Distillates (coal), solvent extn. hydrocracked hydrogenated middle, if it contains > 0.1% w/w benzene;(*)Distillates (coal), solvent extn. hydrocracked middle, if it contains > 0.1% w/w benzene;(*)Distillates (coal), solvent extn. hydrocracked, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), alkene-alkyne manuf. pyrolysis oil, mixed with high-temp. coal tar, indene fraction, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), C3-5, 2-methyl-2-butene-rich, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), C6-rich, if it contains > 0.1 % w/w benzene;(*)Distillates (petroleum), C7-9, C8-rich, hydrodesulfurized dearomatized, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), catalytic reformed depentanizer, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), catalytic reformed straight-run naphtha overheads, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), depentanizer overheads, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), heat-soaked steam-cracked naphtha, C5-rich, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), heavy arom., if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), hydrotreated heavy naphtha, deisohexanizer overheads, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), hydrotreated middle, intermediate boiling, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), light arom., if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), light distillate hydrotreating process, low-boiling, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), light straight-run gasoline fractionation stabilizer overheads, if it contains > 0.1% w/w benzene ;(*)Distillates (petroleum), light thermal cracked, debutanized arom., if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom., if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), naphtha steam cracking-derived, solvent-refined light hydrotreated, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), naphtha unifiner stripper, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), naphtha-raffinate pyrolyzate-derived, gasoline-blending, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), polymd. steam-cracked petroleum distillates, C5-12 fraction, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), steam-cracked, C5-10 fraction, mixed with light steam-cracked petroleum naphtha C5 fraction, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), steam-cracked, C5-12 fraction, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), steam-cracked, C8-12 fraction, polymd., distn. lights, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), straight-run light, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), thermal cracked naphtha and gas oil, C5-dimer-contg., if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), thermal cracked naphtha and gas oil, extractive, if it contains > 0.1% w/w benzene;(*)Distillates (petroleum), thermal cracked naphtha and gas oil, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), acidic, tar-base free, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), coal tar residual pyrolysis oils, naphthalene oil, distn. residues, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), coal tar residual pyrolysis oils, naphthalene oils, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), coal tar-residual pyrolysis oils, naphthalene oil, redistillate, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), tar base, collidine fraction, if it contains > 0.1% w/w benzene;(*)Extract oils (coal), tar base, if it contains > 0.1% w/w benzene;(*)Extract residues (coal tar), benzole fraction alk., acid ext., if it contains > 0.1% w/w benzene;(*)Extract residues (coal), benzole fraction alk., acid ext., if it contains > 0.1% w/w benzene;(*)Extract residues (coal), light oil alk., acid ext., indene fraction, if it contains > 0.1% w/w benzene;(*)Extract residues (coal), low temp. coal tar alk., if it contains > 0.1% w/w benzene;(*)Extract residues (coal), naphthalene oil, alk., if it contains > 0.1% w/w benzene;(*)Extract residues (coal), naphthalene oil, alk., naphthalene-low, if it contains > 0.1% w/w benzene;(*)Extract residues (coal), tar oil alk., if it contains > 0.1% w/w benzene;(*)Extract residues (coal), tar oil alk., naphthalene distn. residues, if it contains > 0.1% w/w benzene;(*)Extracts (petroleum), catalytic reformed light naphtha solvent, if it contains > 0.1% w/w benzene;(*)Extracts (petroleum), cold-acid, C4-6, if it contains > 0.1% w/w benzene;(*)Extracts (petroleum), heavy naphtha solvent, clay-treated, if it contains > 0.1% w/w benzene;(*)Extracts, coal tar oil alk., if it contains > 0.1% w/w benzene;(*)Gasoline, C5-11, high-octane stabilized reformed, if it contains > 0.1% w/w benzene;(*)Gasoline, coal solvent extn., hydrocracked naphtha, if it contains >0.1% w/w benzene;(*)Gasoline, if it contains > 0.1% w/w benzene;(*)Gasoline, natural, if it contains > 0.1% w/w benzene;(*)Gasoline, pyrolysis, debutanizer bottoms, if it contains > 0.1% w/w benzene;(*)Gasoline, pyrolysis, hydrogenated, if it contains > 0.1% w/w benzene;(*)Gasoline, straight-run, topping-plant, if it contains > 0.1% w/w benzene;(*)Gasoline, vapor-recovery, if it contains > 0.1% w/w benzene;(*)Hydrocarbon oils, arom., mixed with polyethylene and polypropylene, pyrolyzed, light oil fraction, if it contains > 0.1% w/w benzene;(*)Hydrocarbon oils, arom., mixed with polyethylene, pyrolyzed, light oil fraction, if it contains > 0.1% w/w benzene;(*)Hydrocarbon oils, arom., mixed with polystyrene, pyrolyzed, light oil fraction, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C2-6, C6-8 catalytic reformer, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C3-11, catalytic cracker distillates, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C3-6, C5-rich, steam-cracked naphtha, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C4-11, naphtha-cracking, arom.-free, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C4-12, naphtha-cracking, hydrotreated, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C4-6, depentanizer lights, arom. hydrotreater, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C5-11, non-aroms.-rich, reforming light fraction, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C5-rich, dicyclopentadiene-contg., if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C5-rich, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C6-11, hydrotreated, dearomatized, if it contains >0.1% w/w benzene;(*)Hydrocarbons, C6-7, naphtha-cracking, solvent-refined, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C6-8, hydrogenated sorption-dearomatized, toluene raffination, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C6-rich, hydrotreated light naphtha distillates, solvent-refined, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C7-12, C=>9-arom.-rich, reforming heavy fraction, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C8-11, naphtha-cracking, toluene cut, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C8-12, catalytic cracker distillates, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C8-12, catalytic cracking, chem. neutralized, sweetened, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C8-12, catalytic-cracking, chem. neutralized, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C9-12, hydrotreated, dearomatized, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, C>=5, C5-6-rich, if it contains > 0.1% w/w benzene;(*)Hydrocarbons, hydrotreated light naphtha distillates, solvent-refined, if it contains > 0.1% w/w benzene;(*)Light oil (coal), coke-oven, if it contains > 0.1% w/w benzene;(*)Ligroine, if it contains > 0.1% w/w benzene;(*)Naphtha (coal), solvent extn. hydrocracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), acid-treated, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), arom.-contg., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), C4-12 butane-alkylate, isooctane-rich, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), catalytic cracked light distd., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), catalytic dewaxed, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), catalytic reformed light, arom.-free fraction, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), catalytic reformed, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), chemically neutralized heavy, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), chemically neutralized light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), clay-treated full-range straight-run, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), clay-treated light straight-run, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), full-range alkylate, butane-contg., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), full-range alkylate, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), full-range coker, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), full-range reformed, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), full-range straight-run, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy alkylate, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy catalytic cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy catalytic cracked, sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy catalytic reformed, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy hydrocracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy steam-cracked, hydrogenated, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy straight run, arom.-contg., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy straight-run, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), heavy thermal cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized full-range coker, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized full-range, if it contains >0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized heavy, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized light, dearomatized, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrodesulfurized thermal cracked light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrotreated heavy, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrotreated light steam-cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrotreated light, cycloalkane-contg., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), hydrotreated light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), isomerization, C6-fraction, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), isomerization, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light alkylate; low boiling point modified naphtha H P;(*)Naphtha (petroleum), light catalytic cracked sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light catalytic cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light catalytic reformed, arom.-free, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light catalytic reformed, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light heat-soaked, steam-cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light hydrocracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light steam-cracked arom., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light steam-cracked, debenzenized, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light steam-cracked, debenzenized, thermally treated, if it contains > 0.1% w/w benzene ;(*)Naphtha (petroleum), light steam-cracked, hydrogenated, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light steam-cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light steam-cracked, thermally treated, if it contains >0.1% w/w benzene;(*)Naphtha (petroleum), light straight-run, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light thermal cracked, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light thermal cracked, sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light, C5-rich, sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), light, sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), solvent-refined heavy, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), solvent-refined light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), steam-cracked middle arom., if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), sweetened light, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), sweetened, if it contains > 0.1% w/w benzene;(*)Naphtha (petroleum), unsweetened, if it contains > 0.1% w/w benzene;(*)Naphtha, if it contains > 0.1% w/w benzene;(*)Natural gas (petroleum), raw liq. mix, if it contains > 0.1% w/w benzene;(*)Natural gas condensates (petroleum), if it contains > 0.1% w/w benzene;(*)Natural gas condensates, if it contains > 0.1% w/w benzene;(*)Petroleum products, hydrofiner-powerformer reformates, if it contains > 0.1% w/w benzene;(*)Phenols, ammonia liquor ext., if it contains > 0.1% w/w benzene;(*)Phenols, C9-11, if it contains > 0.1% w/w benzene;(*)Pyridine, alkyl derivs., if it contains > 0.1% w/w benzene ;(*)Raffinates (petroleum), catalytic reformer ethylene glycol-water countercurrent exts., if it contains > 0.1% w/w benzene;(*)Raffinates (petroleum), reformer, Lurgi unit-sepd., if it contains > 0.1% w/w benzene;(*)Residual oils (petroleum), deisobutanizer tower, if it contains > 0.1% w/w benzene;(*)Residues (coal tar), anthracene oil distn., if it contains > 0.1% w/w benzene;(*)Residues (petroleum), butane splitter bottoms, if it contains > 0.1% w/w benzene;(*)Residues (petroleum), C6-8 catalytic reformer, if it contains > 0.1% w/w benzene;(*)Residues (petroleum), steam-cracked light, arom., if it contains > 0.1% w/w benzene;(*)Solvent naphtha (coal), if it contains > 0.1% w/w benzene;(*)Solvent naphtha (petroleum), hydrotreated light naphthenic, if it contains > 0.1% w/w benzene;(*)Solvent naphtha (petroleum), light aliph., if it contains > 0.1% w/w benzene;(*)Solvent naphtha (petroleum), light arom., hydrotreated, if it contains > 0.1% w/w benzene;(*)Solvent naphtha (petroleum), light arom., if it contains > 0.1% w/w benzene;(*)Stoddard solvent, if it contains > 0.1% w/w benzene;(*)Tar acids, 3,5-xylenol fraction, if it contains > 0.1% w/w benzene;(*)Tar acids, brown-coal gasification, if it contains > 0.1% w/w benzene;(*)Tar acids, brown-coal, C2-alkylphenol fraction, if it contains > 0.1% w/w benzene;(*)Tar acids, brown-coal, crude, if it contains > 0.1% w/w benzene;(*)Tar acids, coal, crude, if it contains > 0.1% w/w benzene;(*)Tar acids, cresylic, if it contains > 0.1% w/w benzene;(*)Tar acids, cresylic, residues, if it contains > 0.1% w/w benzene;(*)Tar acids, cresylic, sodium salts, caustic solns., if it contains > 0.1% w/w benzene;(*)Tar acids, distn. residues, if it contains > 0.1% w/w benzene;(*)Tar acids, ethylphenol fraction, if it contains > 0.1% w/w benzene;(*)Tar acids, methylphenol fraction, if it contains > 0.1% w/w benzene;(*)Tar acids, polyalkylphenol fraction, if it contains > 0.1% w/w benzene;(*)Tar acids, residues, distillates, first-cut, if it contains > 0.1% w/w benzene;(*)Tar acids, xylenol fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, aniline fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, collidine fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, crude, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, distn. residues, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, lutidine fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, picoline fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, quinoline derivs. fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, coal, toluidine fraction, if it contains > 0.1% w/w benzene;(*)Tar bases, quinoline derivs., if it contains > 0.1% w/w benzene;(*)Tar oils, brown-coal, if it contains > 0.1% w/w benzene;(*)Tar oils, coal, if it contains > 0.1% w/w benzene;(*)Tar oils, coal, low-temp., if it contains > 0.1% w/w benzene","Carcinogenic Cat. 1A  Mutagenic Cat. 1B  ",28/10/2010
48,"Benzimidazol -2(3H)-one","615-16-7","210-412-4","(EC) No 1223/2009","82/368/EEC","","","2H-Benzimidazol-2-one, 1,3-dihydro-; N,N'-(1,2-Phenyleneurea) 
 
","","",15/10/2010
49,"Benzazepines and benzodiazepines","12794-10-4","-","(EC) No 1223/2009","82/368/EEC","","","","(*)1,2-Benzodiazepine;(*)1,4-Benzodiazepine;(*)delorazepam;(*)Fenoldopam [INN:BAN]","",17/10/2010
50,"1 -Dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts","644-26-8","211-411-1","(EC) No 1223/2009","82/368/EEC","","","","(*)Amylocaine hydrochloride; (2-Benzoyloxy-2-methylbutyl)dimethylammonium chloride","",15/10/2010
51,"2,2,6 -Trimethyl-4-piperidyl benzoate (eucaine) and its salts","500-34-5","-","(EC) No 1223/2009","82/368/EEC","","","Eucaine","(*)4-Piperidinol, 2,2,6-trimethyl-, benzoate (ester); Eucaine  ","",17/10/2010
52,"Isocarboxazid (INN)","59-63-2","200-438-4","(EC) No 1223/2009","82/368/EEC","","","","","",17/10/2010
53,"Bendroflumethiazide (INN) and its derivatives","73-48-3","200-800-1","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
54,"Beryllium and its compounds","7440-41-7","231-150-7","(EC) No 1223/2009","76/768/EEC","","","","(*)Beryllium;(*)Beryllium compounds with the exception of aluminium beryllium silicates;(*)Beryllium oxide;EMERALD","",17/10/2010
55,"Bromine, elemental","7726-95-6","231-778-1","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
56,"Bretylium tosilate (INN)","61-75-6","200-516-8","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
57,"Carbromal (INN)","77-65-6","201-046-6","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
58,"Bromisoval (INN)","496-67-3","207-825-7","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
59,"Brompheniramine (INN) and its salts","86-22-6","201-657-8","(EC) No 1223/2009","76/768/EEC","","","2-Pyridinepropanamine, gamma-(4-bromophenyl)-N,N-dimethyl- 
","(*)Brompheniramine hydrogen maleate","",17/10/2010
60,"Benzilonium bromide (INN)","1050-48-2","213-885-5","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
61,"Tetrylammonium bromide (INN)","71-91-0","200-769-4","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
62,"Brucine","357-57-3","206-614-7","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
63,"Tetracaine (INN) and its salts","94-24-6","202-316-6","(EC) No 1223/2009","76/768/EEC","","","","(*)tetracaine;(*)Tetracaine hydrochloride ","",17/10/2010
64,"Mofebutazone (INN)","2210-63-1","218-641-1","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
65,"Tolbutamide (INN)","64-77-7","200-594-3","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
66,"Carbutamide (INN)","339-43-5","206-424-4","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
67,"Phenylbutazone (INN)","50-33-9","200-029-0","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
68,"Cadmium and its compounds","7440-43-9","231-152-8","(EC) No 1223/2009","76/768/EEC","","","","(*)cadmium (non-pyrophoric); cadmium oxide (non-pyrophoric);(*)cadmium (pyrophoric);(*)Cadmium chloride;(*)cadmium cyanide;(*)cadmium diformate; cadmiumformate;(*)Cadmium fluoride;(*)cadmium iodide;(*)Cadmium sulphate;(*)Cadmium sulphide;(*)cadmiumhexafluorosilicate(2-); cadmium fluorosilica","",15/10/2010
69,"Cantharides, Cantharis vesicatoria","92457-17-5","296-298-7","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
70,"Cantharidine","56-25-7","200-263-3","(EC) No 1223/2009","76/768/EEC","","","4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3aalpha,4beta,7beta,7aalpha)-;  7-Oxabicyclo(2.2.1)heptane-2,3-dicarboxylic anhydride, 2,3-dimethyl-; (1R,2S)-Hexahydro-1,2-dimethyl-3,6-epoxyphthalic anhydride 

","","",17/10/2010
71,"Phenprobamate (INN)","673-31-4","211-606-1","(EC) No 1223/2009","76/768/EEC","","","Benzenepropanol, carbamate","","",17/10/2010
72,"Nitroderivatives of carbazole","","","(EC) No 1223/2009","82/368/EEC","","","","(*)1-Nitrocarbazole; 1-Nitro-9H-carbazole  ;(*)2-Nitro-9H-carbazole  ;(*)3-Nitro-9H-carbazole ;(*)4-Nitrocarbazole  ","",15/10/2010
73,"Carbon disulphide","75-15-0","200-843-6","(EC) No 1223/2009","76/768/EEC","","","","","Reprotoxic Cat. 2 (C=>1%)  ",15/10/2010
74,"Catalase","9001-05-2 ","232-577-1 ","(EC) No 1223/2009","76/768/EEC","","","","CATALASE","",15/10/2010
75,"Cephaeline and its salts","483-17-0","207-591-6","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
76,"Chenopodium ambrosioides L. (essential oil)","8006-99-3","-","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
77,"2,2,2 -Trichloroethane-1,1-diol","302-17-0","206-117-5","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
78,"Chlorine","7782-50-5","231-959-5","(EC) No 1223/2009","76/768/EEC","","","","","",15/10/2010
79,"Chlorpropamide (INN)","94-20-2","202-314-5","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
80,"Diphenoxylate (INN) hydrochloride","3810-80-8","223-287-6","(EC) No 1223/2009","82/368/EEC","","","","Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in Resolution AP (69) 2 of the Council of Europe","",15/10/2010
80,"Moved or deleted","","","(EC) No 1223/2009","","","","","","",17/10/2010
81,"4 -Phenylazophenylene-1,3-diamine citrate hydrochloride (Chrysoidine citrate hydrochloride)","5909-04-6","-","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
82,"Chlorzoxazone (INN)","95-25-0","202-403-9","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
83,"2 -Chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-ISO)","535-89-7","208-622-6","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
84,"Chlorprothixene (INN) and its salts","113-59-7","204-032-8","(EC) No 1223/2009","76/768/EEC","","","","","",17/10/2010
85,"Clofenamide (INN)","671-95-4","211-588-5","(EC) No 1223/2009","76/768/EEC","","","4-Chloro-m-benzenedisulfonamide 
","","",17/10/2010
86,"N,N -bis(2-Chloroethyl)methylamine N-oxide and its salts","126-85-2","-","(EC) No 1223/2009","82/368/EEC","","","Nitrogen mustard N-oxide
","","",17/10/2010
87,"Chlormethine (INN) and its salts","51-75-2","200-120-5","(EC) No 1223/2009","76/768/EEC","","","Mechlorethamine; 2-Chloro-N-(2-chloroethyl)-N-methylethanamine 

","(*)Chlormethine hydrochloride; Mechlorethamine hydrochloride; Diethylamine, 2,2'-dichloro-N-methyl, hydrochloride  ;(*)Nitrogen mustard N-oxide hydrochloride","",17/10/2010
88,"Cyclophosphamide (INN) and its salts","50-18-0 ","200-015-4","(EC) No 1223/2009","76/768/EEC","","","2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2-chloroethyl)tetrahydro-, 2-oxide ","(*)Cyclophosphamide hydrate;  2H-1,3,2-Oxazaphosphorin-2-amine, N,N-bis(2- chloroethyl)tetrahydro-, 2-oxide, monohydrate ","",17/10/2010
89,"Mannomustine (INN) and its salts","576-68-1 ","209-404-3 ","(EC) No 1223/2009","76/768/EEC","","","1,6-Bis((2-chloroethyl)amino)-1,6-dideoxy-D-mannitol 
","","",17/10/2010
90,"Butanilicaine (INN) and its salts","3785-21-5 ","- ","(EC) No 1223/2009","76/768/EEC","","","2-Butylamino-6'-chloro-o-acetotoluidide ","(*)Butanilicaine dihydrogen phosphate;(*)Butanilicaine hydrochloride; Acetamide, 2-(butylamino)-N-(2-chloro-6-methylphenyl)-,  monohydrochloride","",17/10/2010
