sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
27,"Sodium monofluorophosphate","","10163-15-2 --  7631-97-2","233-433-0 --  231-552-2","Oral products","0.15% calculated as F. When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%","","Contains sodium monofluorophosphate  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Disodium fluorophosphate","","",14/05/2013
28,"Potassium monofluorophosphate","","14104-28-0","237-957-0","Oral products","0.15% calculated as F. When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%","","Contains potassium monofluorophosphate  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Dipotassium fluorophosphate","","",14/05/2013
29,"Calcium monofluorophosphate","","7789-74-4","232-187-1","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains calcium monofluorophosphate.  For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra -indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Calcium fluorophosphate","","",14/05/2013
30,"Calcium fluoride","","7789-75-5","232-188-7","Oral products","0.15% calculated as F. When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0.15%","","Contains calcium fluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
31,"Sodium fluoride","","7681-49-4","231-667-8","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains sodium fluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
32,"Potassium fluoride","POTASSIUM FLUORIDE","7789-23-3","232-151-5","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains potassium fluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
33,"Ammonium fluoride","AMMONIUM FLUORIDE","12125-01-8","235-185-9","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains ammonium fluoride.  For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra -indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
34,"Aluminium fluoride","ALUMINIUM FLUORIDE","7784-18-1","232-051-1","Oral  products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains aluminium fluoride.  For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra -indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
35,"Stannous Fluoride","","7783-47-3","231-999-3","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains stannous fluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra -indicated for children (e.g. for adult use only) the following labelling is obligatory: Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Tin difluoride","","",14/05/2013
36,"Cetylamine Hydrofluoride","CETYLAMINE HYDROFLUORIDE","3151-59-5","221-588-7","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains Cetylamine hydrofluoride. For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra -indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","Hexadecyl ammonium fluoride","","",14/05/2013
37,"3 -(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride","","-","-","Oral  products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains 3 -(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. for adult use only)labelling is obligatory:Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
38,"N,N',N' -Tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride","","","","Oral  products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains N,N',N' -tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride  For any toothpaste with compounds containing fluorine in a concentration of 0.1 to 0.15% calculated as F unless it is already labelled as contra-indicated for children (e.g. for adult use only) the labelling is obligatory:Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","","","",14/05/2013
39,"Octadecenyl - Ammonium Fluoride","OCTADECENYLAMMONIUM FLUORIDE","2782-81-2","-","Oral products","0,15 % calculated as F.  When mixed with other fluorine compounds permitted under this Annex, total F concentration must not exceed 0,15 %","","Contains octadecenyl -ammonium fluoride. For any toothpaste with compounds containing fluorine in a concentration of 0,1 to 0,15 % calculated as F unless it is already labelled as contra-indicated for children (e.g. “for adult use only”) the following labelling is obligatory: “Children of 6 years and younger: use a pea-sized amount for supervised brushing to minimise swallowing. In case of intake of fluoride from other sources consult a dentist or doctor.”","(EC) No 344/2013","","","0653/03-Opinion concerning the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 years;0882/05-Opinion on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years;1214/09-Clarification on the Opinions SCCNFP/0653/03 and SCCP/0882/05 on the Safety of Fluorine Compounds in Oral Hygiene Products for Children under the Age of 6 Years","9-Octadecen-1-amine hydrofluoride","","",14/05/2013
